,LIBID,1992 LOCGVT,STABR,LIBNAME,1993 LOCGVT,1994 LOCGVT,1995 LOCGVT,1996 LOCGVT,1997 LOCGVT,1998 LOCGVT,1999 LOCGVT,2000 LOCGVT,2001 LOCGVT,2002 LOCGVT,2003 LOCGVT,2004 LOCGVT,2005 LOCGVT,2006 LOCGVT,2007 LOCGVT,2008 LOCGVT,2009 LOCGVT,2010 LOCGVT,2011 LOCGVT,2012 LOCGVT,2013 LOCGVT,2014 LOCGVT,2015 LOCGVT,2016 LOCGVT
104,1200045810,191600,NY,SALAMANCA PUBLIC LIBRARY,195051,199919,208330,216693,233657,233657,249504,257059,267282,278039,293364,320660,336862,340664,358747,391366,384657,288847,278211,284950,306309,367500,280000,250000
105,1200045815,0,NY,SENECA NATION LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1200060290,3250,NY,ASHVILLE FREE LIBRARY,2500,3734,3000,7000,7000,7000,8000,8500,9000,9500,11200,12200,13700,14200,14450,14750,16000,16000,17000,17000,17500,17500,18000,18000
107,1200060620,8800,NY,BEMUS POINT PUBLIC LIBRARY,8200,7500,9200,10400,9700,9700,8400,12700,10700,10000,11400,10700,12450,12450,13450,14200,14700,15200,14500,15900,14500,16200,15500,15500
108,1200060890,26500,NY,AHIRA HALL MEMORIAL LIBRARY,29000,36894,32036,37229,41145,41145,45910,47097,47097,49831,54688,60397,60336,69850,72804,77973,70176,71076,66419,69333,71478,71478,76500,78030
109,1200060960,28917,NY,HAZELTINE PUBLIC LIBRARY,30641,31319,35247,33211,33211,33211,35500,40500,40000,40000,40000,44000,47000,48500,49127,48500,48500,51500,56500,60000,50000,50000,45000,46500
110,1200061280,10500,NY,SMITH MEMORIAL LIBRARY,12000,15000,17000,18000,19000,19000,21000,23000,25000,27000,29000,29900,31000,32000,32000,25000,25000,29000,31000,33000,20000,25000,25000,25000
111,1200061460,9725,NY,CLYMER-FRENCH CREEK FREE LIBRARY,9825,10500,11500,12000,12000,12000,13000,13000,14850,14850,14850,14850,15450,16250,16350,16790,17450,17450,17450,17450,17535,19100,19100,19200
112,1200062200,44500,NY,FALCONER PUBLIC LIBRARY,53850,45500,78500,59500,59235,59235,63750,64500,71439,66000,80500,88500,80750,94000,73250,96500,91850,92000,96500,97000,119750,111900,65550,81500
113,1200062300,4400,NY,FLUVANNA FREE LIBRARY,3700,3700,3000,4400,3300,3300,4900,7700,8700,8000,9400,8700,9200,12200,11200,11200,12200,13200,12500,13900,13000,14580,13880,13880
114,1200062410,8000,NY,MYERS MEMORIAL LIBRARY,8750,9500,12500,12600,12750,12750,13000,13250,13500,13500,16000,14500,19500,14500,17500,16500,16500,16500,36500,36500,36500,36500,36500,36500
115,1200063260,357176,NY,JAMES PRENDERGAST LIBRARY ASSOCIATION,353731,360000,360000,370000,377400,377400,384948,384948,384948,369550,369550,370000,370000,370000,370000,372000,372000,372000,372000,372000,372000,365000,365000,350000
116,1200063390,8000,NY,KENNEDY FREE LIBRARY,8500,8750,9500,10000,10000,10000,12000,12500,14000,14000,14500,14000,14500,14750,16000,16250,17000,18500,20000,22000,22000,22000,23000,25000
117,1200063510,51970,NY,LAKEWOOD MEMORIAL LIBRARY,53620,55364,57612,59867,61003,61003,65543,65950,66013,72635,68925,71958,75000,79000,90728,98150,118075,123900,123900,124900,113950,109950,104950,116450
118,1200064000,39370,NY,MAYVILLE LIBRARY,33544,35460,32460,34190,35900,35900,42000,44000,49400,51200,53200,57000,59000,63200,63200,66100,72000,72500,74000,74000,74000,74000,74000,79000
119,1200066060,5700,NY,MINERVA FREE LIBRARY,8400,6400,6900,8000,8000,8000,8000,8000,10700,10700,10700,10700,10900,10900,10900,10900,10900,10900,10900,10900,10900,10900,10000,10000
120,1200066100,26000,NY,ANDERSON-LEE LIBRARY,27050,27620,26550,27000,30100,30100,30900,37400,33000,34700,37014,37535,37265,37715,41215,31265,103663,98727,98750,98750,98750,98511,98750,98750
